fixture_id,case_kind,claim_id,main_anchor,manual_anchor,scope,scale,motif,wave_lineage,operation,input_trace,coupling_or_fold_provenance,expected_exact_result,hostile_mutation,expected_verdict,test_command
M1-closure-12,hostile,M1_CLOSURE_PHASE,eq:closure-certificate,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,closure,"{""no_witness"": true}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-closure-13,positive,M1_RETURN_RECURRENCE,eq:return-identity,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,phase,"{""copies"": 4}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""dwell"": 0, ""edges"": 2, ""phases"": 1}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-closure-14,positive,M1_RETURN_RECURRENCE,eq:wave-identity,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,wave,"{""n"": 3}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""bip"": 2, ""cadence"": [10, 10]}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-closure-15,hostile,M1_RETURN_RECURRENCE,eq:wave-identity,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,wave,"{""n"": 1}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-closure-16,hostile,M1_RETURN_RECURRENCE,eq:wave-identity,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,wave,"{""n"": 3, ""replay"": true}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-closure-17,positive,M1_CLOSURE_PHASE,eq:closure-certificate,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,crown,"{""vertices"": [0, 1, 3]}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""advance"": ""a:0:e1"", ""reclosed"": false}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-closure-18,hostile,M1_CLOSURE_PHASE,eq:closure-certificate,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,crown,"{""horizon_as_realized"": true}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-closure-19,positive,M1_REFLECTED_PHASE,eq:reflected-leg-bound,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,legs,"{""symmetric"": true}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""closure_phase"": 1, ""embedded_unit"": 2, ""factored"": 2, ""outbound"": 1, ""return"": 1, ""sum"": 2}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-closure-20,positive,M1_REFLECTED_PHASE,eq:reflected-leg-bound,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,legs,"{""vertices"": [0, 1, 3, 2, 0]}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,"{""closure_phase"": 1, ""embedded_unit"": 2, ""factored"": null, ""outbound"": 1, ""return"": 3, ""sum"": 4}",paired hostile row in same operation group,PASS,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-closure-21,hostile,M1_REFLECTED_PHASE,eq:reflected-leg-bound,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,legs,"{""symmetric"": true, ""vertices"": [0, 1, 3, 2, 0]}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-closure-22,hostile,M1_REFLECTED_PHASE,eq:reflected-leg-bound,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,legs,"{""reference"": [0, 1, 3, 2, 0]}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
M1-closure-23,hostile,M1_REFLECTED_PHASE,eq:reflected-leg-bound,manual:m1-native-fixtures,B0,0,declared per operation,a;b for coupling,legs,"{""no_witness"": true}",immutable both-lineage prefix/contact or inner/outer certificate records constructed by operation,{},specified in input_trace,REJECT,python3 -m pytest -p no:cacheprovider tests/test_native_closure_wave.py
